resposta,valor
Boa,4
Deficitária,1
Excelente,5
Extremamente,5
Frequentemente,4
Moderadamente,3
Muito,4
Muito Boa,5
Nada/ quase nada,1
Nunca/ Quase nunca,1
Nunca/ quase nunca,1
Raramente,2
Razoável,3
Sempre,5
Um pouco,2
Às vezes,3
