original,grupo
ANALISTA 1,Analista de Atendimento I
ANALISTA DE ATENDIMENTO,Analista de Atendimento I
ANALISTA DE ATENDIMENTO I,Analista de Atendimento I
ANALISTA DE ATENDIMENTO II,Analista de Atendimento II
ANALISTA l,Analista de Atendimento I
ANALISTA1,Analista de Atendimento I
ATENDENTE,Operador de Teleatendimento
Abalista 1,Analista de Atendimento I
Analisata de atendimento,Analista de Atendimento I
Analista,Analista de Atendimento I
Analista 1,Analista de Atendimento I
Analista 1 de piso/ habitação,Analista de Atendimento I
Analista 2,Analista de Atendimento II
Analista De Atendimento I,Analista de Atendimento I
Analista I,Analista de Atendimento I
Analista II,Analista de Atendimento II
Analista Sênior,Analista de Atendimento II
Analista da Qualidade.,Analista de Qualidade
Analista de Atendimento,Analista de Atendimento I
Analista de Atendimento 1,Analista de Atendimento I
Analista de Atendimento I,Analista de Atendimento I
Analista de Atendimento I (Habitação),Analista de Atendimento I
Analista de Atendimento II,Analista de Atendimento II
Analista de Nível 1,Analista de Atendimento I
Analista de Qualidade,Analista de Qualidade
Analista de TI,Analista de TI
Analista de Tráfego,Analista de Tráfego Junior
Analista de atendimento,Analista de Atendimento I
Analista de atendimento 1,Analista de Atendimento I
Analista de atendimento I,Analista de Atendimento I
Analista de atendimento II,Analista de Atendimento II
Analista de atendimento nivel 1.,Analista de Atendimento I
Analista de habitação,Analista de habitação
Analista de tráfego jr.,Analista de Tráfego Junior
Analista de tráfego junior,Analista de Tráfego Junior
Atendente,Operador de Teleatendimento
Atendente - Operadora,Operador de Teleatendimento
Atendente / Operador de telemarketing,Operador de Teleatendimento
Atendente callcenter,Operador de Teleatendimento
Atendente de Teleatendimento,Operador de Teleatendimento
Atendente de call-center,Operador de Teleatendimento
Atendente de telemarketing SAC,Operador de Teleatendimento
Atendimento,Operador de Teleatendimento
Atendimento 1º Nível Telefônico,Operador de Teleatendimento
Atentendente de telecomunicação,Operador de Teleatendimento
Aulixiar de teleatendimento,Operador de Teleatendimento
Coordenador,Coordenador
Monitor de Qualidade,Monitor de Qualidade
Monitor de qualidade,Monitor de Qualidade
Monitora,Monitor de Qualidade
Multiplicador,Multiplicador
Multiplicador(a),Multiplicador
OPERADOR,Operador de Teleatendimento
OPERADOR DE ANTENDIMENTO.,Operador de Teleatendimento
OPERADOR DE ATENDIMENTO,Operador de Teleatendimento
OPERADOR DE TELEATENDIMENTO,Operador de Teleatendimento
OPERADOR DE TELEATENDIMENTO.,Operador de Teleatendimento
OPERADOR DE TELECOMUNICAÇÃO,Operador de Teleatendimento
OPERADOR TELEMARKETING,Operador de Teleatendimento
OPERADOR WEB CHAT,Operador de Teleatendimento
OPERADORA,Operador de Teleatendimento
OPERADORA DE ATENDIMENTO,Operador de Teleatendimento
OPERADORA DE TELEMARKETING,Operador de Teleatendimento
OPERADORA TELEMARKETING,Operador de Teleatendimento
Op. Teleatendimento,Operador de Teleatendimento
Operador,Operador de Teleatendimento
Operador 1º Nível Telefônico,Operador de Teleatendimento
Operador Atendente,Operador de Teleatendimento
Operador Teleatendimento,Operador de Teleatendimento
Operador de Atendimento,Operador de Teleatendimento
Operador de Atendimento.,Operador de Teleatendimento
Operador de Teleatendimento,Operador de Teleatendimento
Operador de Teleatendimento.,Operador de Teleatendimento
Operador de atendiment,Operador de Teleatendimento
Operador de atendimento,Operador de Teleatendimento
Operador de teleatendimento,Operador de Teleatendimento
Operador de teleatendimento.,Operador de Teleatendimento
Operador de telecomunicação,Operador de Teleatendimento
Operador de telemarketing,Operador de Teleatendimento
Operadora,Operador de Teleatendimento
Operadora De Telemarketing,Operador de Teleatendimento
Operadora de TeleAtendimento,Operador de Teleatendimento
