grupo,valor
Boa,
Deficitária,
Excelente,
Extremamente,
Frequentemente,
Moderadamente,
Muito,
Muito Boa,
Nunca/ Quase nunca,
Raramente,
Razoável,
Sempre,
Um pouco,
Às vezes,
